key_algorithm_oid,test_result
1.3.9999.99.60,Y
2.16.840.1.101.3.4.4.1,Y
2.16.840.1.101.3.4.4.2,Y
2.16.840.1.101.3.4.4.3,Y
1.3.9999.99.56,Y
1.3.9999.99.52,Y
2.16.840.1.114027.80.5.2.83,Y
2.16.840.1.114027.80.5.2.82,Y
2.16.840.1.114027.80.5.2.81,Y
2.16.840.1.114027.80.5.2.80,Y
2.16.840.1.114027.80.5.2.85,Y
2.16.840.1.114027.80.5.2.84,Y
2.16.840.1.114027.80.5.2.78,Y
2.16.840.1.114027.80.5.2.79,Y
2.16.840.1.114027.80.5.2.76,Y
2.16.840.1.114027.80.5.2.77,Y
2.16.840.1.114027.80.5.2.74,Y
2.16.840.1.114027.80.5.2.75,Y
1.3.6.1.5.5.7.6.54,Y
1.3.6.1.5.5.7.6.52,Y
1.3.6.1.5.5.7.6.53,Y
1.3.6.1.5.5.7.6.50,Y
1.3.6.1.5.5.7.6.51,Y
2.16.840.1.101.3.4.3.38,Y
2.16.840.1.101.3.4.3.39,Y
2.16.840.1.101.3.4.3.34,Y
2.16.840.1.101.3.4.3.35,Y
2.16.840.1.101.3.4.3.36,Y
2.16.840.1.101.3.4.3.37,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.32,Y
2.16.840.1.101.3.4.3.33,Y
1.3.9999.3.1,Y
1.3.9999.3.4,Y
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.26,Y
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.23,Y
2.16.840.1.101.3.4.3.22,Y
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.101.3.4.3.20,Y
1.3.6.1.5.5.7.6.49,Y
1.3.6.1.5.5.7.6.48,Y
1.3.6.1.5.5.7.6.41,Y
1.3.6.1.5.5.7.6.40,Y
1.3.6.1.5.5.7.6.43,Y
1.3.6.1.5.5.7.6.42,Y
1.3.6.1.5.5.7.6.45,Y
1.3.6.1.5.5.7.6.44,Y
1.3.6.1.5.5.7.6.47,Y
1.3.6.1.5.5.7.6.46,Y
2.16.840.1.101.3.4.3.41,Y
2.16.840.1.101.3.4.3.40,Y
2.16.840.1.101.3.4.3.43,Y
2.16.840.1.101.3.4.3.42,Y
2.16.840.1.101.3.4.3.45,Y
2.16.840.1.101.3.4.3.44,Y
2.16.840.1.101.3.4.3.46,Y
1.3.6.1.5.5.7.6.38,Y
1.3.6.1.5.5.7.6.39,Y
1.3.6.1.5.5.7.6.37,Y
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.19,Y
