key_algorithm_oid,test_result
1.3.6.1.4.1.2.267.7.8.7,N,
1.3.6.1.4.1.2.267.7.4.4,N,
catalyst_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.7.8.7,,
1.3.6.1.4.1.2.267.7.6.5,N,
catalyst_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.7.4.4,,
1.3.9999.3.1,N,
1.3.9999.3.4,N,
1.3.9999.6.7.4,,
1.3.9999.6.8.3,,
1.3.6.1.4.1.22554.5.6.3,,
composite_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.7.8.7,,
1.3.6.1.4.1.22554.5.6.2,,
1.3.6.1.4.1.22554.5.6.1,,
1.3.9999.6.9.3,,
composite_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.7.4.4,,
